Issue Number,Title,State,Comments,Created At,Closed At
4569,[ENH] Allow runtime conditional GIL releasing/acquiring?  ,closed,6,2022-01-13,2022-03-21
4568,"Switch to ""new_build_ext"" broke PyYAML",open,18,2022-01-13,N/A
4567,[ENH] Advertize cython to be a build dependency rather than shipping C/C++ generated files,open,1,2022-01-13,N/A
4566,Option not to make a forward declaration a real type,closed,6,2022-01-13,2022-01-13
4565,Reduce circular imports by avoiding to import Main from everywhere.,open,1,2022-01-12,N/A
4564,[BUG] Calling a cdef fused function declared in a base class falls back to Python invocation,open,1,2022-01-10,N/A
4563,add a depfile support to cythonize,closed,30,2022-01-09,2022-01-14
4562,[BUG] main.c generated by cython isn't running ,closed,2,2022-01-08,2022-01-08
4561,Allow sharing C++ classes across modules,open,15,2022-01-07,N/A
4560,"[BUG] pyximport uses deprecated ""imp"" module",closed,2,2022-01-07,2022-07-04
4559,[BUG] pyximport of .py files fails on Windows,open,0,2022-01-07,N/A
4558,[BUG] Can't allocate object on stack if class has const members (despite having cpp_locals=True),closed,3,2022-01-07,2022-11-12
4557,[ENH] Do not specify template types when calling functions,open,1,2022-01-07,N/A
4556,[BUG] Can't define a method conditionally in a cdef class,open,3,2022-01-05,N/A
4555,[ENH] Add a 'readonly' parameter to the constructor of cython.view.array,open,1,2022-01-04,N/A
4554,Docs visual improvement and add documentation guide for new contributor for `docs`,open,1,2022-01-03,N/A
4553,[ENH] Facelift and add guide to contribute to Cython Documentation,open,7,2022-01-03,N/A
4552,Fix failing relative imports in __init__ files.,closed,21,2022-01-02,2022-10-01
4551,Document cython.compile,closed,1,2022-01-01,2022-01-02
4550,Fix missing TypeError on invalid arg count to range,closed,5,2021-12-31,2022-01-05
4549,Cython.Compiler.Errors.CompilerError: main.pyx,closed,2,2021-12-31,2021-12-31
4548,MRG: add --module-name argument to cython command,closed,18,2021-12-30,2022-07-19
4547,[BUG] Namespace is not inserted if a cppclass is renamed,closed,1,2021-12-29,2021-12-30
4546,[BUG] Cython incorrectly searches for template types inside templates,open,2,2021-12-29,N/A
4545,[ENH] derive variable type from template functions,open,0,2021-12-29,N/A
4544,Docs: Migrate sharing_declarations.rst to pure python mode,closed,3,2021-12-29,2022-06-25
4543,Cython doesn't properly optimize cython classes used in cython only code,closed,2,2021-12-28,2021-12-28
4542,Fix non-member operator lookup,closed,5,2021-12-28,2022-02-05
4541,[BUG] Cython fails to compile when annotated function is already declared in pxd,closed,1,2021-12-28,2021-12-28
4540,fix argument validation when searching function,closed,1,2021-12-27,2021-12-27
4539,[BUG] cython confuses nonmember operators,open,5,2021-12-27,N/A
4538,Remove python 2.5 mention from special_methods.rst,closed,1,2021-12-27,2021-12-28
4537,Docs: Migrate special_methods.rst to pure python,closed,7,2021-12-27,2022-06-25
4536,fix incorrect operator lookup for postincrement,closed,11,2021-12-26,2022-09-18
4535,[BUG] postincrement in C++ handled incorrectly,closed,2,2021-12-26,2022-09-18
4534,[BUG] invalid namespace usage causes compiler crash,open,1,2021-12-26,N/A
4533,[ENH] fail when using non existent C++ operators,open,3,2021-12-26,N/A
4532,[BUG] incorrect type derived for operators,open,0,2021-12-26,N/A
4531,fix incorrect template definition,closed,0,2021-12-26,2021-12-28
4530,add cbegin/cend/crbegin/crend,closed,12,2021-12-26,2022-04-15
4529,[BUG] Compiler crash with template,open,0,2021-12-25,N/A
4528,fix incorrect iterator implementation,closed,9,2021-12-25,2022-04-19
4527,add emplace_back to vector,closed,0,2021-12-24,2021-12-25
4526,Add `uio.pxd` and update some posix pxds,closed,2,2021-12-24,2021-12-25
4525,[BUG] cppclass overloaded alternatives are dropped,open,7,2021-12-24,N/A
4524,"[BUG] C++ overloaded traits are dropped from Cython ""cppclass""es when the cppclass inheriting from an extern cppclass is itself not extern",closed,5,2021-12-24,2021-12-25
4523,Avoid double redirect in old documentation,closed,0,2021-12-24,2021-12-25
4522,[ENH] Many posix declarations are missing in `Cython/Includes/posix`,closed,4,2021-12-24,2021-12-25
4521,[BUG] Converting a pointer from a C callback to a memory view causes an exception when trying to index into the array,open,5,2021-12-23,N/A
4520,"[ENH] ""full"" and ""safe"" annotation typing mode",open,3,2021-12-23,N/A
4519,[ENH] Create __annotations__ for cdef classes,open,0,2021-12-23,N/A
4518,[ENH] Introspect cythonized code for changed cmdline args in cache invalidation,open,1,2021-12-23,N/A
4517,Redo pypy tp flags,closed,4,2021-12-23,2021-12-25
4516,Migrate extension_types.rst to pure python,closed,6,2021-12-22,2022-07-07
4515,Fix class pointer annotations,closed,1,2021-12-22,2021-12-23
4514,[BUG] Compilation fails when class attribute is annotated using `cython.pointer()`,closed,1,2021-12-22,2021-12-23
4513,Function pointer assignment with mismatching 'except' clause,closed,4,2021-12-21,2021-12-21
4512,[BUG] redefinition of struct with extern from file that includes public extension type header,open,0,2021-12-21,N/A
4511,"revert setuptools pinning, do not override CC, CXX",closed,5,2021-12-21,2022-11-25
4510,pin setuptools<60,closed,12,2021-12-21,2021-12-21
4509,qualify use of tp_pypy_flags and tp_vectorcall on PyPy,closed,6,2021-12-20,2021-12-21
4508,Migrate array tutorial to pure python mode,closed,5,2021-12-20,2022-02-02
4507,Use thread-local storage for the global error state,closed,1,2021-12-20,2021-12-20
4506,Use PyType_GetSlot() in more places to avoid direct slot access,closed,0,2021-12-20,2021-12-20
4505,[BUG] Pure Python mode does not support memoryviews.,closed,2,2021-12-19,2021-12-20
4504,Fused type inference doesn't work when fused type includes arrays,open,5,2021-12-18,N/A
4503,Mysterious CI crash,closed,5,2021-12-18,2021-12-20
4502,[cython]problem with jupyter notebook,closed,2,2021-12-18,2021-12-18
4501,Minor fixes in CHANGES.rst of release 3.0.0 alpha 10,closed,1,2021-12-17,2021-12-17
4500,Adapt to exc_info changes in Py3.11,closed,25,2021-12-17,2022-01-23
4499,[BUG] incompatibility with CPython main branch,closed,10,2021-12-16,2021-12-21
4498,Replace old_build_ext with new_build_ext,closed,14,2021-12-15,2021-12-20
4497,Fix langage_basics example after closing #2529,closed,1,2021-12-15,2021-12-15
4496,[HELP REQUESTED] Cython code not working with nogil ,closed,3,2021-12-13,2021-12-13
4495,Clean up Limited API / Module State Struct code,open,2,2021-12-12,N/A
4494,Bugfix/pep448 in op unpack fix,closed,2,2021-12-09,2021-12-14
4493,[BUG] 0.29.25: test suite fails on numpy units,closed,9,2021-12-07,2021-12-07
4492,"warning: division by zero [-Wdiv-by-zero],error: enumerator value for '__pyx_check_sizeof_voidp' is not an integer constant",closed,2,2021-12-07,2021-12-07
4491,[BUG] inspect.Parameter's property annotation error,closed,1,2021-12-07,2021-12-07
4490,RFC: Adding a backend for HPy.,open,18,2021-12-06,N/A
4489,[BUG] Access denied on Windows when attempting to delete a file created by Cython during the build,open,5,2021-12-06,N/A
4488,pyston support: backport memory corruption fix #4200 to v0.29 branch,closed,3,2021-12-02,2021-12-05
4487,[ENH] `std::vector` to `np.ndarray` coercion,open,4,2021-12-02,N/A
4486,Remove pypy bugs tests,closed,1,2021-11-27,2021-12-06
4485,"Recategorize a few pypy bugs, fix some others",closed,1,2021-11-27,2021-11-29
4484,"[ENH] If we provide a C-API for pushing and popping introspectable frames, will you use it?",open,6,2021-11-26,N/A
4483,"[BUG] Compiler crash in AnalyseExpressionsTransform parsing ""if v1 in h1:"" where h1 is a cython array.",open,3,2021-11-26,N/A
4482,Remove warning from unused temp in module init,closed,0,2021-11-25,2021-11-26
4481,[ENH] Separate shadowing package,closed,1,2021-11-24,2021-11-24
4480,Disable USE_UNICODE_WRITER for limited api and Py3.11,closed,1,2021-11-23,2021-11-24
4479,Exceptions.c PyCode_New -> PyCode_NewEmpty,closed,0,2021-11-23,2021-11-25
4478,PYPY: pypy does not implement PyCode_NewWithPosOnlyArgs,closed,2,2021-11-22,2021-11-23
4477,PYPY: do not call __Pyx_Coroutine_del (tp_finalize) - it reconstructs dead objects,closed,5,2021-11-22,2021-11-25
4476,Clean up memoryview reference counting on error,closed,3,2021-11-21,2021-11-24
4475,Disable Cython reimplementation of trashcan,closed,0,2021-11-20,2021-11-23
4474,Fixed uninitialized test on 3.11,closed,0,2021-11-20,2021-11-23
4473,Add tp_inline_values_offset to slot_table (0.29.x),closed,0,2021-11-20,2021-12-05
4472,Add tp_inline_values_offset to slot_table,closed,4,2021-11-20,2021-12-05
4471,Disable pycontextvar test on PyPy,closed,10,2021-11-20,2021-11-25
4470,[ENH] Make MinGW work on Windows,open,6,2021-11-20,N/A
4469,"[BUG] Typing an attribute to float in an __init__ makes slearn ""clone"" method fail on compiled version.",closed,1,2021-11-19,2021-11-19
4468,Add Python 3.10 classifier (0.29.x backport),closed,0,2021-11-18,2021-11-18
4467,[ENH] Have memoryviews check alignment,open,0,2021-11-14,N/A
4466,[ENH] Setting __doc__ attribute of properties,closed,4,2021-11-14,2021-11-14
4465,Get 0.29.x working on Python 3.11,closed,10,2021-11-14,2021-11-18
4464,DOC Add a Performance section for Typed Memoryviews,closed,2,2021-11-13,2021-11-13
4463,Restore non-PEP563 annotation behaviour,open,6,2021-11-12,N/A
4462,Add merge and set operations of the C++ algorithm library,closed,1,2021-11-12,2021-11-18
4461,[BUG] longintrepr.h not found,closed,1,2021-11-09,2021-11-09
4460,[cython-mode.el] Attempt to fix #3218 and other bugs around it,closed,1,2021-11-09,2021-11-11
4459,add 'n' and 'N' format characters,open,6,2021-11-09,N/A
4458,Remove unreachable code in Utility,closed,1,2021-11-07,2021-11-08
4457,Remove abandoned/merged branches,open,2,2021-11-07,N/A
4456,Try to fix exception when debugging a module with linetrace enabled,open,13,2021-11-07,N/A
4455,Fix unchecked return value in utility code,closed,5,2021-11-07,2021-11-07
4454,use PyContextVar_Get backport until PyPy 7.3.6,closed,1,2021-11-05,2021-11-06
4453,Only set HAVE_VECTORCALL flag when using vectorcall,closed,1,2021-11-05,2021-11-18
4452,[BUG] ValueError: numpy.ndarray size changed,closed,1,2021-11-05,2021-11-05
4451,[ENH] Add warning/error for using std::move on Python object,open,5,2021-11-05,N/A
4450,[ENH] Add a way to disable internal stacktraces,closed,5,2021-11-05,2021-11-05
4449,Add Python 3.10 classifier,closed,2,2021-11-05,2021-11-05
4448,"Add missing min/max, comparison and permutation operations of C++ algorithm library",closed,4,2021-11-04,2021-11-11
4447,[bug] __qualname__ unavailable at class scope,closed,4,2021-11-04,2023-05-21
4446,[BUG] python annotation of class attribute gives compile-time error,open,3,2021-11-03,N/A
4445,[BUG] code emitted for Python 3.10 causes warning C4551 in MSVC,open,4,2021-11-03,N/A
4444,[BUG] Coverage misses finally block statements when you early return from the try block,open,1,2021-11-03,N/A
4443,"[BUG] Trying to debug a test in VS Code with linetrace=True raises ""TypeError: 'NoneType' object is not callable""",open,9,2021-11-03,N/A
4442,[BUG] exception mapping does not generate code to bring type into scope,open,0,2021-11-03,N/A
4441,[BUG] --cython-directives flag to build_ext/old_build_ext is broken,open,5,2021-11-02,N/A
4440,"Avoid coverage.py balking on ""stringsource""",closed,6,2021-11-02,2021-11-07
4439,Fix GCC -Wsign-conversion warning,closed,6,2021-11-02,2021-11-02
4438,[BUG] npy_clongdouble element access inconsistent with other complex types.,closed,3,2021-11-01,2021-11-01
4437,[ENH] Include statement in class body,closed,6,2021-10-31,2021-10-31
4436,Make self argument for binops typed,closed,2,2021-10-31,2021-11-18
4435,removed a default mutable argument pitfall,closed,0,2021-10-31,2021-11-07
4434,[BUG] __add__ method gets Python object not cython object as self.,closed,3,2021-10-30,2021-11-18
4433,Don't error when exception_check is set to True when return type is PyObject.,closed,3,2021-10-29,2021-12-14
4432,Fix pure python example in clibraries.rst,closed,1,2021-10-28,2021-10-29
4431,"Pythonise ""Working with Python arrays"" (array.rst)",closed,7,2021-10-28,2022-02-02
4430,[BUG] Inconsistent behavior when compiling cdef and pure functions with memoryview as an argument,closed,3,2021-10-28,2021-10-28
4429,[ENH] Support defining extension types (cdef class) with NULL tp_new,open,3,2021-10-27,N/A
4428,FIX: change c includes to account for upstream changes,closed,13,2021-10-26,2021-10-31
4427,Fix co-routine frames on Python 3.11 alpha,closed,3,2021-10-25,2021-11-08
4426,update incorrect version support comment,closed,3,2021-10-23,2021-10-23
4425,[BUG] Large files compile very slowly in the C compiler,open,39,2021-10-23,N/A
4424,[BUG] testSyntaxErrorMissingParens and testSyntaxErrorMissingParens test failures with Python 3.10Test failure with Python 3.10,open,2,2021-10-23,N/A
4423,Add most of the C++17 numeric functions to libcpp.numeric,closed,8,2021-10-22,2021-11-02
4422,Does cython support to translate multiple python files which have a call relationship?,closed,1,2021-10-21,2021-10-21
4421,Cannot Install ZMQ Cython backend on Python3.10 Debian bullseye ,closed,2,2021-10-18,2021-10-18
4420,Attempt to fix tracing,closed,1,2021-10-18,2021-10-18
4419,Add libcpp multimap and unordered_multimap,closed,10,2021-10-18,2021-10-22
4418,[BUG] 0.29.24: TypeError: 'CythonLexer' object is not callable when building doc,closed,6,2021-10-18,2021-10-21
4417,Fixed fused.__self__ tests on PyPy,closed,1,2021-10-17,2021-10-18
4416,[BUG] Python 3.11 PyThreadState->frame has changed type,closed,0,2021-10-16,2021-11-08
4415,_TextTestResult->TextTestResult,closed,0,2021-10-16,2021-10-17
4414,Initial support for Python 3.11,closed,5,2021-10-16,2021-10-24
4413,Fix fused cpdef default arguments,closed,3,2021-10-16,2021-10-17
4412,[BUG] Small memory leak with default arguments to cpdef functions,closed,1,2021-10-15,2021-10-17
4411,Profile.c uses PyThreadState_EnterTracing(),closed,8,2021-10-15,2021-10-18
4410,fixed libcpp map/set/multiset/unordered type issues,closed,6,2021-10-15,2021-10-22
4409,[BUG] segfault on pandas with 3.0a9,closed,15,2021-10-14,2021-10-17
4408,wrong type in unordered_multiset::swap(),closed,2,2021-10-14,2021-10-15
4407,transform error in same name py file,closed,8,2021-10-14,2021-10-16
4406,What is the maximum code length supported when building a . So files?,closed,1,2021-10-13,2021-10-13
4405,[ENH] Switch to using only `setuptools` (PEP 632),open,11,2021-10-12,N/A
4404,"Best practice variable size array in ""pure c/cython""",closed,5,2021-10-10,2021-10-11
4403,"Add ""import_array()"" to the Numpy tutorial",closed,0,2021-10-10,2021-11-02
4402,[BUG] Declaration of the memoryview breaks annotation.,open,9,2021-10-09,N/A
4401,[BUG] Usage of fused types in a class results in Cython assertion error,open,2,2021-10-09,N/A
4400,Introduce new shell syntax for ci-run.sh,closed,6,2021-10-08,2021-10-22
4399,[BUG] incorrect code when using dir() in generator/list comprehension,closed,2,2021-10-07,2021-10-08
4398,Improve ci-run.sh,closed,2,2021-10-06,2021-10-07
4397,"Improve ""import_array"" guard",closed,1,2021-10-05,2021-10-06
4396,"[BUG] Auto-generation of ""import_array"" not working on recent Numpy",closed,4,2021-10-05,2021-10-06
4395,add some missing functions to libcpp,closed,2,2021-10-04,2021-10-20
4394,BUG: downstream segfault with Cython >= 3.0a5,closed,8,2021-10-04,2021-10-06
4393,[ENH] ndarray[ndim=1].__iter__ optimization,open,2,2021-10-04,N/A
4392,Add partial circular import fix (and test) for #4390,closed,2,2021-10-01,2021-12-18
4391,[BUG] Incorrect type inferred for pointer to function,open,2,2021-10-01,N/A
4390,[BUG] Partially loaded circular imports don't import,closed,4,2021-09-30,2021-12-18
4389,Pythonise Unicode and passing strings (strings.rst),open,16,2021-09-30,N/A
4388,[BUG] addition of the `pxd` breaks pure mode,open,4,2021-09-30,N/A
4387,Fix typo discovered by codespell,closed,1,2021-09-29,2021-09-29
4386,Split up module init function,closed,7,2021-09-24,2021-09-27
4385,[BUG] Coverage plugin does not work for pxd inline function signatures,open,0,2021-09-24,N/A
4384,maybe a [BUG] Pyspark workers can't find a dependency compiled with Cython,open,4,2021-09-23,N/A
4383,"Compile failed when i use ""default"" keyword as an attribute",open,7,2021-09-20,N/A
4382,[ENH] Please stop using undocumented CPython internals.,open,8,2021-09-20,N/A
4381,Make __Pyx_CoroutineAwaitType non-pickleable,closed,1,2021-09-20,2021-09-27
4380,"Removed usused ""FetchCommonPointer"" utility code",closed,0,2021-09-20,2021-09-20
4379,[BUG] `scanner_trace` fails in Windows with Py3.8+,open,0,2021-09-16,N/A
4378,Avoid AddTraceback if stringtab isn't set up,closed,3,2021-09-15,2021-09-27
4377,[BUG] segmentation fault when numpy is not available,closed,6,2021-09-15,2021-09-27
4376, Fix the name of attributes in the common module ,closed,3,2021-09-14,2021-09-28
4375,Try to handle function outer_attrs more consistently,closed,1,2021-09-12,2021-10-01
4374,[ENH] Change CyFunction defaults struct to cdef classes,closed,0,2021-09-12,2024-05-21
4373,[BUG] Shared implementation of CyFunction and FusedFunction has the wrong name,closed,1,2021-09-11,2021-09-28
4372,pxd file is not processed when an Extension object is cythonized,closed,7,2021-09-11,2021-09-15
4371, LINK : error LNK2001: unresolved external symbol PyInit___init__,closed,2,2021-09-11,2021-09-11
4370,Avoid unnecessary binding of fused functions,closed,3,2021-09-10,2021-09-24
4369,[BUG] Constants defined in .pxd are not available in .pyx?,open,6,2021-09-10,N/A
4368,Pickle CyFunctions,open,7,2021-09-08,N/A
4367,[BUG] no member named ‘__pyx_outer_scope’,closed,1,2021-09-08,2021-10-01
4366,[ENH] Improve the error message for struct size change,open,2,2021-09-07,N/A
4365,[BUG] PyCode_New and PyCode_NewWithPosOnlyArgs are going away in 3.11,closed,18,2021-09-06,2022-03-28
4364,build for multiple dir/level project,closed,1,2021-09-06,2021-09-06
4363,Fix a couple of trivial typos,closed,0,2021-09-04,2021-09-05
4362,[BUG] --embed does not seem to work.,closed,2,2021-09-02,2022-06-21
4361,Fix maybe uninitialized `value` in get_value and get_value_no_default.,closed,3,2021-09-02,2021-09-06
4360,[BUG] Calling missing C++ constructor causes compiler crash,open,0,2021-09-01,N/A
4359,Change gcc version to a numeric comparison,closed,0,2021-09-01,2021-10-01
4358,Support cpp_locals and std::move on prange temps,closed,0,2021-09-01,2021-12-06
4357,Apply #3782 to all MSVC version,closed,2,2021-09-01,2021-10-28
4356,[BUG] MSVC warning C4125 in string declaration,open,1,2021-09-01,N/A
4355,Avoid copying unaligned 16-bit values,closed,1,2021-08-31,2021-09-01
4354,[BUG] cpp_locals generates broken code for thread local temp variables,closed,4,2021-08-30,2021-12-06
4353,Fix deduplication of tuples constaining IdentifierStringNode,closed,2,2021-08-30,2021-08-31
4352,[ENH] add a way to forward C++ exceptions,open,6,2021-08-30,N/A
4351,Check for dodgy multiple inheritance of cdef class,open,3,2021-08-28,N/A
4350,[BUG] Extention type inheritance and pickle,open,6,2021-08-28,N/A
4349,Fix C++ bool coercion where no operator bool exists,closed,0,2021-08-26,2021-09-03
4348,[BUG] Calling 'operator bool' results in 'AttributeError',closed,0,2021-08-26,2021-09-03
4347,Package names included in `PyInit` function for multiple source file extensions [ENH] ,closed,1,2021-08-25,2021-08-25
4346,Try precompiling Python.h,closed,1,2021-08-23,2021-08-23
4345,Update docs to recommend using MSVC on Windows,closed,0,2021-08-23,2021-08-31
4344,PyUnicode_CompareWithASCIIString fix signature,closed,1,2021-08-20,2021-08-31
4343,[BUG] fstring.format_c_numbers crashes with bus error,closed,13,2021-08-15,2021-09-01
4342,[ENH] provide helpers to allow cythonizing variants of custom declarative tools,open,2,2021-08-14,N/A
4341,[BUG] Bad C code generation from indexing optimization,open,4,2021-08-14,N/A
4340,Use `assert` from `unittest` instead of normal,open,5,2021-08-13,N/A
4339,Use cythonize in pyximport,closed,8,2021-08-12,2021-12-14
4338,Add `clear_method_caches` to Utils.py,closed,4,2021-08-12,2021-10-28
4337,Ban templating C++ classes with reference counted types,closed,1,2021-08-11,2021-12-06
4336,Improve CHANGES.rst,closed,3,2021-08-11,2021-12-17
4335,Help type checkers find Shadow typings,closed,23,2021-08-10,2024-03-31
4334,[ENH] Support for tri-bool types,closed,1,2021-08-10,2021-08-10
4333,Fixed internal link in the docs,closed,0,2021-08-09,2021-08-09
4332,[BUG] Compilation error when shortcutting dunder method,open,5,2021-08-09,N/A
4331,Fix bugs with Windows,closed,7,2021-08-09,2021-08-31
4330,[BUG] Cython cannot find files under 2 levels of directories,open,1,2021-08-08,N/A
4329,Stackless Python 3.8 uses an unmodified PyFrameObject,closed,2,2021-08-08,2022-02-24
4328,Changes needed to begin testing GraalPython,closed,2,2021-08-08,2021-12-16
4327,[ENH] Help type checkers find Shadow.pyi,closed,12,2021-08-07,2024-03-31
4326,"[ENH] Make types immutable under 3.10 again, or document that they won't be",open,5,2021-08-05,N/A
4325,[ENH] Cannot use `__slots__` because `cython.declare` creates class attribute,open,9,2021-08-03,N/A
4324,Make GitHub Actions work on Windows,closed,39,2021-08-02,2022-07-28
4323,Restore error on cdef function arbitrary decorator,closed,1,2021-08-02,2021-08-07
4322,[BUG] Not exposing class decorator wrapping cdef function to Python,closed,5,2021-08-01,2021-08-07
4321,"[BUG] const uint8_t[:, :] has shape [1, 2, 0, 0, 0, 0, 0, 0]",open,5,2021-08-01,N/A
4320,Add more cpp_locals tests,closed,0,2021-07-31,2021-07-31
4319,add windows to CI,closed,6,2021-07-29,2021-08-15
4318,Allow releasing gil in nogil functions,closed,1,2021-07-28,2021-12-18
4317,Suppress warnings about constant expressions on MSVC,closed,2,2021-07-28,2021-08-07
4316,Pythonise Memory Allocation (memory_allocation.rst),closed,9,2021-07-28,2021-08-08
4315,Allow default value for memory view,closed,2,2021-07-27,2021-12-25
4314,Add use cases for `IF`,open,0,2021-07-27,N/A
4313,[BUG] Compiler crash with class method and memory view with default `None` value,closed,3,2021-07-27,2021-12-25
4312,Generate cpp files with cythonize in build_dir instead of source_dir,open,0,2021-07-27,N/A
4311,Docs: Migrate profiling tutorial to pure python,closed,8,2021-07-27,2021-12-14
4310,Deprecate conditional compilation,open,92,2021-07-27,N/A
4309,Make __PYX_WARN_IF_INIT_CALLED name unique per-module,closed,1,2021-07-23,2021-07-23
4308,"[BUG] in 3.0.0x, embed multi modules cause  errors : redefinition of ‘PyObject* __PYX_WARN_IF_INIT_CALLED(PyObject*)’",closed,1,2021-07-23,2021-07-23
4307,Simplify Pipeline.create_pyx_pipeline call,closed,1,2021-07-22,2021-07-22
4306,[ENH] Autopopulating richcompare,closed,3,2021-07-22,2021-07-22
4305,[BUG] Test failure with 0.29.24,closed,3,2021-07-22,2021-07-22
4304,Docs: Use cython.cast() instead of cast() in examples of language basics documentation,closed,0,2021-07-21,2021-07-21
4303,[ENH] dataclasses Python 3.10 features (`__match_args__` and `kw_only`),open,0,2021-07-20,N/A
4302,[BUG] Fused type specialisation via typedef is broken,open,1,2021-07-20,N/A
4301,Add `typeof` in pure.rst,closed,2,2021-07-20,2021-07-20
4300,[ENH] Add `typeof` in cython's built-ins,closed,11,2021-07-20,2021-07-20
4299,[BUG] Variables annotated with `cython.pointer` are threated as `PyObject`s,closed,2,2021-07-20,2021-07-20
4298,[BUG] `float` is threated as `cython.float` in `cython.declare` in pure python mode ,open,2,2021-07-20,N/A
4297,[BUG] `float` is inconsistent with `sizeof` in pure python mode,open,0,2021-07-19,N/A
4296,[BUG] Reference count leak with memory view arguments,closed,1,2021-07-19,2021-11-24
4295,"Pythonise docs: ""pxd files"" (pxd_files.rst)",closed,7,2021-07-19,2023-07-19
4294,Docs: Introduce pure python mode in Using C libraries tutorial,closed,6,2021-07-19,2021-07-22
4293,[BUG] Annotated attributes of cclass are not supporting pointers,closed,6,2021-07-18,2022-08-02
4292,Conversion of C++ containers with optional templates,open,3,2021-07-18,N/A
4291,[ENH][BUG] Allow compile-time conditionals inside `ctypedef` blocks,closed,7,2021-07-16,2021-07-16
4290,Improve the readability of code in pipeline.py,closed,4,2021-07-16,2021-07-20
4289,[ENH] Collapse multiple submodule to one cython extension,closed,1,2021-07-16,2021-07-16
4288,Format Pipeline.py,closed,4,2021-07-16,2021-07-16
4287,[ENH] Allow compile-time conditionals,closed,10,2021-07-15,2021-07-27
4286,[ENH] Allow compile-time definitions in pure python,closed,8,2021-07-15,2021-07-27
4285,Fix missing images in quickstart,closed,0,2021-07-15,2021-07-15
4284,Use explicitely cython module in examples,closed,0,2021-07-14,2021-07-14
4283,Add pure python to Getting started,closed,5,2021-07-14,2021-07-15
4282,[ENH] Allow raising C++ exceptions in pure python ,closed,1,2021-07-14,2021-07-14
4281,"Set ""is_target"" attribute for 'name-like' target nodes.",closed,0,2021-07-13,2021-07-13
4280,[ENH] C functions should propagate exceptions by default,closed,37,2021-07-13,2022-09-10
4279,[ENH] Allow function pointers in Python code,open,4,2021-07-13,N/A
4278,[BUG] Compiler warnings and errors no longer shown,open,0,2021-07-12,N/A
4277,[ENH] Add extensions for vscode,open,0,2021-07-11,N/A
4276,Fix std::string::npos and add missing std::string members,closed,9,2021-07-11,2021-07-13
4275,Rename GeneratorExpressionScope->ComprehensionScope,closed,2,2021-07-11,2021-07-19
4274,Add missing PyMem_Calloc/PyMem_RawCalloc functions,closed,1,2021-07-09,2021-07-10
4273,Add missing multiset class to the standard library bindings,closed,0,2021-07-07,2021-07-19
4272,[BUG] `global` can overflow stack?,open,9,2021-07-07,N/A
4271,Missing max_element in libcpp.algorithms,closed,0,2021-07-07,2021-07-18
4270,[BUG] Can't specify memoryview size with `cython.cast`,open,0,2021-07-06,N/A
4269,[BUG] Failure to create executable with PyQt and py2app,closed,4,2021-07-06,2021-07-06
4268,[BUG] std::string::npos not correctly mapped,closed,2,2021-07-06,2021-07-13
4267,Build and keep wheels in Github Actions.,closed,7,2021-07-05,2021-07-06
4266,[BUG] remaining bugs with `cpp_locals` directive,closed,0,2021-07-04,2021-07-31
4265,More fixes to cpp_locals,closed,5,2021-07-04,2021-07-19
4264,@cython.compile support for recursion,open,5,2021-07-03,N/A
4263,[BUG] Core dump occurs in code compiled using 3.0a6.,closed,6,2021-07-03,2021-07-03
4262,[ENH] Customize location of .so file generated by Cython,closed,1,2021-07-02,2021-07-02
4261,compilation warning,closed,4,2021-07-02,2021-07-02
4260,Please backport Python 3.9/3.10 compatibility fixes to the stable branch,closed,2,2021-06-30,2021-07-01
4259,Fix a few bugs in cpp_locals,closed,1,2021-06-30,2021-07-02
4258,Shadow.optimization -> Shadow.optimize,closed,1,2021-06-29,2021-07-02
4257,[ENH] Allow to declare field visibility in structures,open,2,2021-06-29,N/A
4256,fix call to run_distutils,closed,5,2021-06-29,2021-06-30
4255,Has anyone compiled PYD in unreal4.26? Can you give a document to explain it[ENH] ,closed,1,2021-06-29,2021-06-29
4254,Generator expression and comprehension scope,closed,13,2021-06-28,2022-08-08
4253,[ENH] Support packed C structs in pure Python mode,open,20,2021-06-28,N/A
4252,[ENH] Support enum declarations in pure Python mode,open,6,2021-06-28,N/A
4251,Update numpy_tutorial.rst,closed,7,2021-06-28,2021-06-28
4250,[BUG] Cython adds _PyGen_Send on CPython 3.10,closed,4,2021-06-28,2021-06-29
4249,[BUG] Something seems off with Cython.Debugger.Tests.TestLibCython and CythonCompileTestCase,closed,5,2021-06-27,2021-06-28
4248,Set is_cython_module on annotations correctly,closed,1,2021-06-24,2021-06-28
4247,Added Pure Python mode to Calling C functions tutorial,closed,8,2021-06-24,2021-07-14
4246,[BUG] Process finished with exit code -1073740940 (0xC0000374),closed,1,2021-06-24,2021-06-24
4245,OS dependent failures when running tests,closed,2,2021-06-24,2022-02-26
4244,Update error message in documentation,closed,1,2021-06-23,2021-06-28
4243,[BUG] casting PyObject * is broken in pure python mode,closed,5,2021-06-23,2021-06-24
4242,Introduce pure python mode in language basics documentation,closed,42,2021-06-23,2021-07-20
4241,"Allow cythonize to recompile .py file when .pxd file has changed, attempt 2",open,54,2021-06-21,N/A
4240,[BUG] Calling cdef'd functions with const qualifier can generate uncompilable code,open,0,2021-06-21,N/A
4239,delete -> delete[] in cpp_nonstdint test,closed,0,2021-06-20,2021-06-22
4238,Glossary was broken,closed,1,2021-06-18,2021-06-18
